timestamp,interface,protocol,srcMac,dstMac,srcIp,dstIp,srcPort,dstPort,ttl,length,summary,rtt
"2026-04-29 11:14:27.358","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","150.171.110.114","38738","443","64",66,"TCP ACK","-"
"2026-04-29 11:14:27.365","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",187,"TCP ACK-PSH","-"
"2026-04-29 11:14:27.365","wlo1","UDP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","193.137.16.65","58187","53","64",103,"UDP datagram","-"
"2026-04-29 11:14:27.365","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",1304,"TCP ACK","-"
"2026-04-29 11:14:27.365","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",1304,"TCP ACK-PSH","-"
"2026-04-29 11:14:27.365","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",1304,"TCP ACK","-"
"2026-04-29 11:14:27.365","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",1304,"TCP ACK-PSH","-"
"2026-04-29 11:14:27.365","wlo1","UDP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","193.137.16.65","52791","53","64",103,"UDP datagram","-"
"2026-04-29 11:14:27.366","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",1304,"TCP ACK","-"
"2026-04-29 11:14:27.366","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",1304,"TCP ACK-PSH","-"
"2026-04-29 11:14:27.369","wlo1","TCP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","52.182.143.211","52394","443","64",261,"TCP ACK-PSH","-"
"2026-04-29 11:14:27.373","wlo1","UDP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","193.137.16.65","172.26.109.31","53","58187","63",286,"UDP datagram","-"
"2026-04-29 11:14:27.373","wlo1","UDP","d4:7f:35:16:e2:9f","94:bb:43:2a:60:bd","193.137.16.65","172.26.109.31","53","52791","63",226,"UDP datagram","-"
"2026-04-29 11:14:27.374","wlo1","UDP","94:bb:43:2a:60:bd","d4:7f:35:16:e2:9f","172.26.109.31","193.137.16.65","37168","53","64",113,"UDP datagram","-"
