09:25:42.388 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:58489 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=103 | UDP datagram | rtt=-
09:25:42.388 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:52364 -> d4:7f:35:16:e2:9f /20.189.173.17:443 | ttl=64 | len=184 | TCP PSH | rtt=-
09:25:42.388 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:52364 -> d4:7f:35:16:e2:9f /20.189.173.17:443 | ttl=64 | len=1304 | TCP ACK | rtt=-
09:25:42.392 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:52364 -> d4:7f:35:16:e2:9f /20.189.173.17:443 | ttl=64 | len=1304 | TCP PSH | rtt=-
09:25:42.392 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:35300 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=103 | UDP datagram | rtt=-
09:25:42.392 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:52364 -> d4:7f:35:16:e2:9f /20.189.173.17:443 | ttl=64 | len=1304 | TCP ACK | rtt=-
09:25:42.392 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:52364 -> d4:7f:35:16:e2:9f /20.189.173.17:443 | ttl=64 | len=1304 | TCP PSH | rtt=-
09:25:42.395 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:52364 -> d4:7f:35:16:e2:9f /20.189.173.17:443 | ttl=64 | len=1304 | TCP ACK | rtt=-
09:25:42.395 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:52364 -> d4:7f:35:16:e2:9f /20.189.173.17:443 | ttl=64 | len=1304 | TCP PSH | rtt=-
09:25:42.399 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:58489 | ttl=62 | len=290 | UDP datagram | rtt=-
09:25:42.399 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:35300 | ttl=62 | len=229 | UDP datagram | rtt=-
09:25:42.399 | wlo1 | TCP | 94:bb:43:2a:60:bd /172.26.109.31:52364 -> d4:7f:35:16:e2:9f /20.189.173.17:443 | ttl=64 | len=443 | TCP PSH | rtt=-
09:25:42.400 | wlo1 | UDP | 94:bb:43:2a:60:bd /172.26.109.31:58938 -> d4:7f:35:16:e2:9f /193.137.16.145:53 | ttl=64 | len=116 | UDP datagram | rtt=-
09:25:42.403 | wlo1 | UDP | d4:7f:35:16:e2:9f /193.137.16.145:53 -> 94:bb:43:2a:60:bd /172.26.109.31:58938 | ttl=62 | len=193 | UDP datagram | rtt=-
09:25:42.663 | wlo1 | TCP | d4:7f:35:16:e2:9f /20.189.173.17:443 -> 94:bb:43:2a:60:bd /172.26.109.31:52364 | ttl=98 | len=66 | TCP ACK | rtt=-
