2026-05-02 11:21:16.463 | eth0 | IPv4 | MAC 00:00:00:aa:00:01 -> 01:00:5e:00:00:05 | IP 10.0.0.1 -> 224.0.0.5 | ttl=1 | len=78 | IPv4 packet, ttl=1 | rtt=-
2026-05-02 11:21:18.463 | eth0 | IPv4 | MAC 00:00:00:aa:00:01 -> 01:00:5e:00:00:05 | IP 10.0.0.1 -> 224.0.0.5 | ttl=1 | len=78 | IPv4 packet, ttl=1 | rtt=-
2026-05-02 11:21:20.464 | eth0 | IPv4 | MAC 00:00:00:aa:00:01 -> 01:00:5e:00:00:05 | IP 10.0.0.1 -> 224.0.0.5 | ttl=1 | len=78 | IPv4 packet, ttl=1 | rtt=-
2026-05-02 11:21:22.464 | eth0 | IPv4 | MAC 00:00:00:aa:00:01 -> 01:00:5e:00:00:05 | IP 10.0.0.1 -> 224.0.0.5 | ttl=1 | len=78 | IPv4 packet, ttl=1 | rtt=-
2026-05-02 11:21:24.465 | eth0 | IPv4 | MAC 00:00:00:aa:00:01 -> 01:00:5e:00:00:05 | IP 10.0.0.1 -> 224.0.0.5 | ttl=1 | len=78 | IPv4 packet, ttl=1 | rtt=-
2026-05-02 11:21:24.511 | eth0 | OTHER | MAC 00:00:00:aa:00:01 -> 33:33:00:00:00:05 | IP - -> - | ttl=- | len=90 | Unsupported Ethernet payload | rtt=-
2026-05-02 11:21:25.023 | eth0 | ICMP | MAC 00:00:00:aa:00:00 -> 00:00:00:aa:00:02 | IP 10.0.0.20 -> 10.0.0.21 | ttl=64 | len=98 | ICMP type=8, code=0 - echo request (ping request) | rtt=-
2026-05-02 11:21:25.023 | eth0 | ICMP | MAC 00:00:00:aa:00:02 -> 00:00:00:aa:00:00 | IP 10.0.0.21 -> 10.0.0.20 | ttl=64 | len=98 | ICMP type=0, code=0 - echo reply (ping response) | rtt=0 ms
2026-05-02 11:21:26.065 | eth0 | ICMP | MAC 00:00:00:aa:00:00 -> 00:00:00:aa:00:02 | IP 10.0.0.20 -> 10.0.0.21 | ttl=64 | len=98 | ICMP type=8, code=0 - echo request (ping request) | rtt=-
2026-05-02 11:21:26.065 | eth0 | ICMP | MAC 00:00:00:aa:00:02 -> 00:00:00:aa:00:00 | IP 10.0.0.21 -> 10.0.0.20 | ttl=64 | len=98 | ICMP type=0, code=0 - echo reply (ping response) | rtt=0 ms
2026-05-02 11:21:26.466 | eth0 | IPv4 | MAC 00:00:00:aa:00:01 -> 01:00:5e:00:00:05 | IP 10.0.0.1 -> 224.0.0.5 | ttl=1 | len=78 | IPv4 packet, ttl=1 | rtt=-
2026-05-02 11:21:28.467 | eth0 | IPv4 | MAC 00:00:00:aa:00:01 -> 01:00:5e:00:00:05 | IP 10.0.0.1 -> 224.0.0.5 | ttl=1 | len=78 | IPv4 packet, ttl=1 | rtt=-
2026-05-02 11:21:30.417 | eth0 | ARP | MAC 00:00:00:aa:00:00 -> 00:00:00:00:00:00 | IP 10.0.0.20 -> 10.0.0.21 | ttl=- | len=42 | ARP request: Who has 10.0.0.21? Tell 10.0.0.20 | rtt=-
2026-05-02 11:21:30.417 | eth0 | ARP | MAC 00:00:00:aa:00:02 -> 00:00:00:00:00:00 | IP 10.0.0.21 -> 10.0.0.20 | ttl=- | len=42 | ARP request: Who has 10.0.0.20? Tell 10.0.0.21 | rtt=-
2026-05-02 11:21:30.417 | eth0 | ARP | MAC 00:00:00:aa:00:00 -> 00:00:00:aa:00:02 | IP 10.0.0.20 -> 10.0.0.21 | ttl=- | len=42 | ARP reply: 10.0.0.20 is at 00:00:00:aa:00:00 | rtt=-
2026-05-02 11:21:30.417 | eth0 | ARP | MAC 00:00:00:aa:00:02 -> 00:00:00:aa:00:00 | IP 10.0.0.21 -> 10.0.0.20 | ttl=- | len=42 | ARP reply: 10.0.0.21 is at 00:00:00:aa:00:02 | rtt=-
2026-05-02 11:21:30.467 | eth0 | IPv4 | MAC 00:00:00:aa:00:01 -> 01:00:5e:00:00:05 | IP 10.0.0.1 -> 224.0.0.5 | ttl=1 | len=78 | IPv4 packet, ttl=1 | rtt=-
